track,tier,lane,company,role,neighborhood,posted,verified_active,apply_method,posted_pay,real_hourly_weak,real_hourly_base,real_hourly_strong,monthly_gross_weak,monthly_gross_base,monthly_gross_strong,monthly_net_weak,monthly_net_base,monthly_net_strong,confidence,bartender_path,next_action,key_unknowns,source_url
Hospitality,Tier 1 Verified Support,Food Runner / Busser,Boqueria,Food Runner / Busser,Downtown,Date unavailable,2026-05-12,Online,$25-$40/hr,28,32,38,3640,5540,6580,2910,4430,5260,High,Low relevance,Apply online first,"Whether the upper range is common; real shift mix",https://www.indeed.com/q-food-runner-l-nashville-tn-jobs.html
Hospitality,Tier 1 Verified Support,Server Assistant,Luke Bryan's 32 Bridge,Server Assistant,Broadway,18 days ago,2026-05-12,Online + walk in,$12-$35/hr,28,34,38,3640,5890,7410,2910,4710,5930,High,Possible,Apply online then walk in,"Median shift payout; weekday vs Thu-Sat; floor assignment",https://www.indeed.com/viewjob?jk=868abc7dc7a7919d
Hospitality,Tier 1 Verified Support,Barback,Jason Aldean's Kitchen + Rooftop Bar,Barback,Broadway,6 days ago,2026-05-12,Online + walk in,Pay not shown,26,31,42,3380,5370,7280,2700,4300,5820,Medium,Plausible,Apply online then walk in,"Real tip-out; hours; floor access; promotion path",https://www.indeed.com/cmp/Tc-Restaurant-Group
Hospitality,Tier 1 Verified Support,Server Assistant,Lainey Wilson's Bell Bottoms Up,Server Assistant,Downtown,~3 weeks ago,2026-05-12,Online + walk in,$12-$35/hr,28,34,38,3640,5890,7410,2910,4710,5930,Medium,Possible,Apply online then walk in,"Whether this venue pays at the top of the range",https://www.indeed.com/viewjob?jk=59aa135532343a2d
Hospitality,Tier 1 Verified Support,Server Assistant,Sun Diner,Server Assistant,Downtown,7 days ago,2026-05-12,Online + walk in,$12-$35/hr,28,31.5,35,3640,5460,6830,2910,4370,5460,Medium,Possible,Apply online then walk in,"Daypart mix; actual weekly hours; tip-out reality",https://www.indeed.com/cmp/Tc-Restaurant-Group
Hospitality,Tier 1 Premium Barback,Barback,Friends In Low Places,Barback,Broadway,Date unavailable,2026-05-12,Online + walk in,$28-$35/hr,28,34,45,3640,5890,7790,2910,4710,6230,High,Plausible,Apply online then walk in,"Whether hours can exceed the stated band",https://www.indeed.com/q-bar-back-l-tennessee-jobs.html
Hospitality,Tier 2 Broadway Upside,VIP Barback,Jason Aldean's Kitchen + Rooftop Bar,VIP Barback,Broadway,17 days ago,2026-05-12,Online + follow-up,Pay not shown,25,30,42,3250,5200,7280,2600,4160,5820,Low,Possible,Apply online and ask about VIP pay model,"Service-charge participation; politics; schedule access",https://www.indeed.com/cmp/Tc-Restaurant-Group
Hospitality,Tier 2 Broadway Volatility,Bar Back,Lucky Bastard Saloon,Bar Back,Broadway,Early May NHP post,2026-05-12,Indeed + walk in,$15/hr + tips,22,27,40,2860,4680,6930,2290,3740,5540,Medium,Possible,Apply online then walk in,"Average tip-out; barback count; floor quality",https://www.indeed.com/viewjob?jk=d24542ab7de7766d
Hospitality,Tier 2 Restaurant Hedge,Food Runner,Luogo / Pelato,Food Runner,Downtown / Germantown,Date unavailable,2026-05-12,Online + walk in 1pm-3pm,$25-$30/hr,25,30,30,3250,4330,5200,2600,3460,4160,High,Low relevance,Apply online then walk in,"Private-event upside; real hours",https://www.indeed.com/viewjob?jk=216c0868d5f5f1f6
Hospitality,Tier 2 Restaurant Hedge,Server Assistant / Busser,The Capital Grille,Server Assistant / Busser,Broadway / Gulch edge,1 day ago,2026-05-12,Online,$700-$1,200/week incl. tips,20,25,30,3460,4330,5200,2770,3460,4160,Medium,Low relevance,Apply online,"Top-end weekly take-home; move-up potential",https://www.indeed.com/viewjob?jk=f7fb0ef1cd452542
Hospitality,Tier 2 Controlled Hedge,Barback,The Sirocco,Barback,East Nashville,Early May NHP post,2026-05-12,Email,$10/hr + tips,20,24,33,2600,4160,5720,2080,3330,4580,Medium,Unknown,Email and ask average barback tip-out,"Average tip-out; nights vs weekends; real hours",https://www.the-sirocco.com/
Hospitality,Tier 2 Restaurant Hedge,Food Runner / Busser,ZuZu Nashville,Food Runner / Busser,Nashville,Early May NHP post,2026-05-12,Apply via NHP post / direct follow-up,Not stated,20,24,33,2600,4160,5720,2080,3330,4580,Low,Low relevance,Follow up from NHP May post,"Full-time hours; tip-out structure; true take-home",https://www.facebook.com/groups/nashvillehospitalityprofessionals/posts/3121202224936210
